품목,구매처,규격,담당 크루,분류,상태,재구매 주기,최종 편집 일시,최종 편집자
A4 용지,오프라인 매장 (이마트),,양유호,사무·교육,충분,월 1회,2026년 7월 5일 오전 1:10,양유호
프린터 토너·잉크,온라인 주문 (www.,,인우,사무·교육,충분,수시,2026년 7월 5일 오전 1:13,양유호
코팅 필름,,,김재헌,사무·교육,충분,수시,2026년 7월 22일 오후 8:35,양유호
보드마카·볼펜,,,,사무·교육,충분,월 1회,2026년 7월 5일 오전 1:13,양유호
상담용 노트·필기구,,,김재헌,사무·교육,재구매 필요,수시,2026년 7월 5일 오전 1:13,양유호
휴지,,,,위생·청소,충분,주 1회,2026년 7월 5일 오전 1:13,양유호
손 소독제 리필,,,,위생·청소,재구매 필요,월 1회,2026년 7월 5일 오전 1:13,양유호
청소 세제·유리세정제,,,,위생·청소,재구매 필요,월 1회,2026년 7월 5일 오전 1:13,양유호
걸레,,,,위생·청소,충분,분기,2026년 7월 5일 오전 1:13,양유호
쓰레기봉투,,,,위생·청소,충분,월 1회,2026년 7월 5일 오전 1:12,양유호
여성용품,,,,위생·청소,충분,월 1회,2026년 7월 5일 오전 1:12,양유호
커피 원두·캡슐,,,,다과·음료,충분,월 1회,2026년 7월 5일 오전 1:12,양유호
차류 (캐모마일·페퍼민트·유자차),,,,다과·음료,충분,월 1회,2026년 7월 5일 오전 1:12,양유호
"상담 다과 과자 ",,,,다과·음료,충분,월 1회,2026년 7월 5일 오전 1:12,양유호
종이컵,,,,다과·음료,충분,월 1회,2026년 7월 5일 오전 1:12,양유호
음료 파우더 (핫초코 등),,,,다과·음료,충분,월 1회,2026년 7월 5일 오전 1:12,양유호
카메라 배터리·SD카드,,,,촬영·기타,충분,수시,2026년 7월 5일 오전 1:12,양유호
건전지 (포인터·리모컨),,,,촬영·기타,충분,분기,2026년 7월 5일 오전 1:12,양유호
