# 폐기함에서 「진짜 미결이 아니다」로 확인한 줄의 지문(토픽|본문 sha1 앞 10자).
# `node tools/decision-queue.js --버려진 --확인` 이 덧붙인다. 본문이 바뀌면 지문이 달라져 다시 뜬다.
0d502103aa  abandoned-audio-orphan:35
ebb96fc6ce  ai-stack-decision:60
f77e13b461  ai-stack-decision:85
1da8c2f3ae  ai-stack-decision:86
450523036a  app-rebuild-native:15
863e99ae58  app-rebuild-native:42
d2f614c9ce  brand-font-lock:76
ab8effef8b  brand-kit-application-audit:117
9db6b70e05  brand-kit-application-audit:290
2165df8b5d  brand-kit-application-audit:328
beed0ab937  cleanup:36
cd21a6ad17  cleanup:43
3ac7eab113  cleanup:48
be61977ce5  cleanup:59
ee81ee6b7c  cleanup:60
aa3761806d  cleanup:61
f759ab6f87  cleanup:65
45a49b2066  cleanup:86
e0a73a221a  cleanup:90
8927d199cc  cleanup:104
de011e7d4a  cleanup:113
42913b40a3  cleanup:124
d499382e9e  cleanup:125
0020ac4b9d  cleanup:128
6e6249d3c4  consent-copy-two-sentences:50
1283d499af  data-accumulation-2year:47
1d896d3fd3  data-accumulation-2year:106
9158d62962  decision-queue-content-drift:15
6621938ddf  decision-queue-content-drift:23
c48acb7802  decision-queue-content-drift:29
cb183d77e7  decision-queue-content-drift:83
900921d5b9  deploy-live-vs-push:145
bd2261abbd  deploy-live-vs-push:146
ff440dc999  engine-pipeline-design:82
8f78b4b55f  engine-pipeline-design:92
6edfda8571  engine-pipeline-design:105
be21a7789f  engine-pipeline-design:106
8e33d1642c  engine-pipeline-design:205
e14992cabf  engine-role-allocation:51
5de9daaf32  friction-sweep:21
cb2794d1ed  glide-live-audit:50
9e9afa909d  guard-routing-and-collisions:88
c2f1a316e1  harness-graph-engineering:53
d19c8492b0  harness-graph-engineering:60
0f4fcc5c38  hermes-v020-judgment:72
997344a57d  index-is-two-files:30
400ed1ec1b  index-is-two-files:31
7b0f06e8c7  index-is-two-files:34
3bfbcd155f  index-is-two-files:47
c713fab884  index-is-two-files:49
b49b6c8813  kit-slate-gray:65
2e6a22f92e  kit-slate-gray:71
043f8187dc  kit-slate-gray:87
8ba9745811  kit-slate-gray:97
bba4fc2952  l0-auth-code:70
409721a026  l0-auth-code:71
e2e63515ea  laptop-ram-and-wifi:53
7bd8cc39ef  m0-contract-freeze:23
99ef660168  master-directive-v3:63
fc3c13b8f9  memory-index-compression-arithmetic:63
0474bba07b  memory-index-compression-arithmetic:135
9a45370cc3  memory-index-compression-arithmetic:146
6db8e136fd  memory-index-compression-arithmetic:147
1e2d52ca32  memory-index-compression-arithmetic:148
d2f9f3199d  memory-index-total-cap:68
896955d50e  obsidian-docs-compression:16
17d959f65c  obsidian-docs-compression:30
6d127519d1  p0-product-contract:68
8db30000e7  phase0-remote-meta:13
a2315a0570  platform-rebuild-decision:113
e41d5e9e57  platform-rebuild-decision:135
882e565fea  queue-delivery-fidelity:27
07c6a50c09  queue-honest-delivery:23
8a2c7839fa  queue-honest-delivery:27
6b035abec0  queue-section-heading-blind:3
1ffad05f16  queue-section-heading-blind:19
a51a860aa3  referral-prereg:101
7770ad63db  referral-prereg:108
1c1736a9b6  remote-run:13
3b7fb4b6b1  remote-run:18
3806f70c5a  s1b-screen-wiring:53
588e28a2ad  s1b-screen-wiring:104
1440748e03  s1b-screen-wiring:214
81c09412a7  system-evolution-loop:23
76a1e4804c  system-evolution-loop:25
95875705ee  teacher-incentive-canon-sync:73
f5c4a853f3  voice-ai-tutor:11
6449196ae3  voice-ai-tutor:20
4145cdaa04  afk-long-task-loop:32
05361f3d0a  afk-long-task-loop:37
25093525c5  collection-engine-automation-mandate:129
5eef74f5cd  memory-sync-rename-deadlock:36
b0f9708b60  memory-sync-rename-deadlock:38
ae7ea6cbcc  s1a-delivery-batch:102
dcfbb265e8  marketing-redesign-participation:43
b7ff5ee719  c0-api-contract:51
4d86bfa783  autonomous-build-mode:60
b8a11c9617  design-audit-full-stack:3
aca531f70f  reviewer-console-ux:227
7a855600a7  mvp-eta-measured:40
9d9efda3ce  design-docs-sweep-0811:15
71a3196f94  minigame-spec-4modules:85
7cd045e9f1  ai-correction-producer:43
82c6da126b  data-accumulation-2year:54
3f05134048  design-docs-sweep-0811:3
9f653df73f  minigame-spec-4modules:42
fe56ae5666  minigame-spec-4modules:61
cf2413f122  minigame-spec-4modules:69
d7ef71c812  minigame-spec-4modules:139
4510e1323b  mongolia-trademark-clearance:86
836e5a31ba  trademark-first-filing:201
2cbebf3bc7  guard-routing-and-collisions:550
a66746c9a1  handoff-anon-collision:82
447f1c0b5b  memory-index-compression-arithmetic:188
0ada9d3838  minigame-spec-4modules:124
92507347ad  parent-mail-mongolian:43
7c46401d60  parent-mail-mongolian:44
6e6503426d  parent-mail-mongolian:53
40fdf04624  philosophy-alignment-audit-0811:44
c93359d6a6  philosophy-canon-sharpening-0812:41
0b1ae91899  season-review-vessel:65
5c25c5b120  season-review-vessel:161
582fd234cd  season-review-vessel:209
4fa41b4a36  task-selection-by-state:91
04759931fa  trademark-first-filing:229
d872d63699  korea-mongolia-tax-structure:47
bf7df0e5de  korea-mongolia-tax-structure:165
c6a6413066  korea-mongolia-tax-structure:168
d12a161c0a  memory-index-compression-arithmetic:231
ac041fa371  memory-index-compression-arithmetic:233
2e1efcd234  minigame-spec-4modules:169
0f53101a82  minigame-spec-4modules:197
13e1d3138e  philosophy-alignment-audit-0811:65
2498eb7f16  reviewer-console-ux:448
0729e13450  reviewer-console-ux:459
c20826b5e3  season-review-vessel:114
7d420a1a33  task-selection-by-state:217
0c701439fd  task-selection-by-state:224
2c01133e23  task-selection-by-state:258
5517f6d9ae  deploy-target-gate:25
aa86018670  homework-bank-quality-0813:37
ab1b740705  homework-bank-quality-0813:38
56038d30b4  trademark-first-filing:299
fff705be89  offline-class-20min-structure:27
c5fdc70b55  brand-propagation-gap:36
c8d7efe4ad  brand-propagation-gap:47
975da5883c  mascot-cherry-jelly-kit:28
04da856cf6  mascot-cherry-jelly-kit:46
8450752a7b  minigame-spec-4modules:262
5476a7be14  philosophy-cold-review-0813:3
5e38ed6cf1  fb-first-post-assets:31
e39f1361a0  minigame-spec-4modules:124
35453709d3  task-selection-by-state:612
bce6fa8573  brand-propagation-gap:55
aaa16cbb3b  fb-first-post-assets:79
ead370d945  offline-class-20min-structure:46
3c12c063d9  radio24-design:80
76af686688  world-baseline-verdict-0814:19
6252dbb282  world-baseline-verdict-0814:31
0d40b34de7  ai-correction-producer:103
b1ab27cef1  brain-learning-taxonomy:21
f0115a44df  consent-not-a-decision-input:72
b7463404a9  deploy-target-gate:391
2555174162  felt-engine-track:48
62e785972e  mascot-companion-layer:26
dcb8cd97da  mascot-felt-liveness:3
02c4bc19d4  mascot-felt-liveness:88
4f020708d7  mascot-felt-liveness:134
ad77feeb34  mascot-felt-liveness:137
209bd39707  najeon-carousel-frame:46
4c9dda3f05  naming-canon:11
971a0a3a23  radio24-design:94
572769251d  silent-failure-ledger:106
56fc70654a  silent-failure-ledger:125
76b7b14657  task-selection-by-state:3
1be709f1f8  task-selection-by-state:749
1758db1b3b  canva-pro-subscription-verdict:3
4946ffda8c  guard-routing-and-collisions:865
f1007e3655  harness-deletion-verdict-0816:60
15940a98ae  harness-deletion-verdict-0816:62
1f9d3379a0  silent-failure-ledger:100
c56b637a88  silent-failure-ledger:101
665095c09b  synk-org-structure-v1:42
db327cef55  deploy-target-gate:525
f6b28d68a1  guard-routing-and-collisions:853
d0ce69c5cc  harness-deletion-verdict-0816:67
3a44b0b750  harness-deletion-verdict-0816:68
d02c3ac285  harness-deletion-verdict-0816:73
9eeef5ccfd  harness-deletion-verdict-0816:74
08c0ddcfad  harness-deletion-verdict-0816:91
13d02bf545  task-selection-by-state:3
874ed3ad54  harness-deletion-verdict-0816:106
e005cbcb7c  harness-deletion-verdict-0816:121
66015e0b79  harness-deletion-verdict-0816:123
9de2ceb2e2  radio24-design:127
82ae0c7677  radio24-design:131
78d2f2bb90  task-selection-by-state:3
5b2507617e  deploy-target-gate:567
2b37668c98  deploy-target-gate:568
0a812325a9  git-credential-manager-hang:32
c9544f1036  synklab-canon-compression:40
e480c00c6f  guard-routing-and-collisions:859
