# 발음 본보기 낱말 11 — 「학생이 따라 할 정답 소리」를 굽는 입력.
#
# 🔑 값의 정본은 이 파일이 아니라 `docs/발음데이터_규격.md` 다(HW306·HW311·HW318 표).
#    여기는 그 확정을 «굽는 순서»로 옮겨 적은 실행 입력일 뿐 — 규격이 바뀌면 규격이 이긴다.
# 굽기:  node tools/목소리굽기.js --목록 docs/발음본보기_목록.txt --폴더 docs/소리/발음본보기
#
# 🔴 이 소리가 본보기 노릇을 하려면 «음운 규칙이 적용된 채로» 읽혀야 한다 —
#    읽었어요[일거써요] · 많았어요[마나써요] · 좋네요[존네요] · 십만 원[심마눤] · 책상[책쌍].
#    글자 그대로 읽으면 본보기가 아니라 «오답»이 된다. 그래서 굽고 나서 반드시 귀로 검수한다.
#
# 한 줄 = 「파일이름<탭>읽을 글」

01_연음_먹었어요	먹었어요
02_연음_읽었어요	읽었어요
03_연음_들었어요	들었어요
04_연음_놀았어요	놀았어요
05_연음_많았어요	많았어요
06_연음_씻었어요	씻었어요
07_비음화_감사합니다	감사합니다
08_비음화_좋네요	좋네요
09_비음화_십만원	십만 원
10_경음화_책상	책상
11_경음화_옷장	옷장
