가	k a
가게에	k a g e e
가겓따는	k a g e t̚ t͈ a n ɯ n
가기가	k a g i k a
가기를	k a g i ɾ ɯ l
가까워	k a k͈ a w ʌ
가까워지더니	k a k͈ a w ʌ d͡ʑ i d ʌ n i
가까워질쑤록	k a k͈ a w ʌ d͡ʑ i l s͈ u ɾ o k̚
가까이	k a k͈ a i
가까이만	k a k͈ a i m a n
가까이에서	k a k͈ a i e s ʌ
가끔가끔	k a k͈ ɯ m k a k͈ ɯ m
가난한	k a n a n h a n
가냘픈	k a n j a l pʰ ɯ n
가느냐가	k a n ɯ n j a g a
가는	k a n ɯ n
가능해	k a n ɯ ŋ h ɛ
가능핻떤	k a n ɯ ŋ h ɛ t̚ t͈ ʌ n
가니나	k a n i n a
가다가는	k a d a g a n ɯ n
가도	k a d o
가드칸	k a d ɯ kʰ a n
가드키	k a d ɯ kʰ i
가득	k a d ɯ k̚
가라사대	k a ɾ a s a d ɛ
가라안는	k a ɾ a a n n ɯ n
가래가	k a ɾ ɛ g a
가로등에	k a ɾ o d ɯ ŋ e
가리고	k a ɾ i g o
가리며	k a ɾ i m j ʌ
가리어	k a ɾ i ʌ
가리킨다	k a ɾ i kʰ i n t a
가마	k a m a
가마니써야지	k a m a n i s͈ ʌ j a d͡ʑ i
가마에서	k a m a e s ʌ
가만히	k a m a n h i
가며	k a m j ʌ
가면	k a m j ʌ n
가면서	k a m j ʌ n s ʌ
가방을	k a b a ŋ ɯ l
가버리고	k a b ʌ ɾ i g o
가벼운	k a b j ʌ u n
가벼워젇꼬	k a b j ʌ w ʌ d͡ʑ ʌ t̚ k͈ o
가벼워젇따	k a b j ʌ w ʌ d͡ʑ ʌ t̚ t͈ a
가볍께	k a b j ʌ p̚ k͈ e
가보게	k a b o g e
가보기로	k a b o g i ɾ o
가쁘게	k a p͈ ɯ g e
가서	k a s ʌ
가서도	k a s ʌ d o
가세	k a s e
가수이다	k a s u i d a
가스메	k a s ɯ m e
가스메는	k a s ɯ m e n ɯ n
가스메다	k a s ɯ m e d a
가스메서	k a s ɯ m e s ʌ
가스믄	k a s ɯ m ɯ n
가스믈	k a s ɯ m ɯ l
가스미	k a s ɯ m i
가슴	k a s ɯ m
가슴도	k a s ɯ m t o
가슴소그로부터	k a s ɯ m s o g ɯ ɾ o b u tʰ ʌ
가슴소글	k a s ɯ m s o g ɯ l
가슴소기	k a s ɯ m s o g i
가시는	k a s i n ɯ n
가시며	k a s i m j ʌ
가운데에	k a u n t e e
가위를	k a w i ɾ ɯ l
가으레	k a ɯ ɾ e
가을철	k a ɯ l t͡ɕʰ ʌ l
가이파거나	k a i pʰ a g ʌ n a
가자구	k a d͡ʑ a g u
가장	k a d͡ʑ a ŋ
가저쓰나	k a d͡ʑ ʌ s͈ ɯ n a
가정이얻씀니다	k a d͡ʑ ʌ ŋ i ʌ t̚ s͈ ɯ m n i d a
가족꽈	k a d͡ʑ o k̚ k͈ w a
가지	k a d͡ʑ i
가지가지의	k a d͡ʑ i g a d͡ʑ i ɰ i
가지각쌕	k a d͡ʑ i g a k̚ s͈ ɛ k̚
가지고	k a d͡ʑ i g o
가지고도	k a d͡ʑ i g o d o
가지는	k a d͡ʑ i n ɯ n
가지런히	k a d͡ʑ i ɾ ʌ n h i
가지를	k a d͡ʑ i ɾ ɯ l
가진	k a d͡ʑ i n
가진다	k a d͡ʑ i n t a
가치	k a t͡ɕʰ i
가타	k a tʰ a
가타지며	k a tʰ a d͡ʑ i m j ʌ
가탇따	k a tʰ a t̚ t͈ a
가트니	k a tʰ ɯ n i
가트니라	k a tʰ ɯ n i ɾ a
가튼	k a tʰ ɯ n
가하던	k a h a d ʌ n
각깍	k a k̚ k͈ a k̚
