аа	aː
аав	aː w
аавд	aː w t
аавдаа	aː w t aː
аавтай	aː w tʰ a j
аавтайгаа	aː w tʰ a j ɡ aː
аавыг	aː w iː ɡ
аавыгаа	aː w iː ɡ aː
аавын	aː w iː n
аавынд	aː w iː n t
аавынхаа	aː w iː n x aː
ааглаж	aː ɡ ɮ a t͡ʃ
аажимдаа	aː t͡ʃ i m t aː
аажмаар	aː t͡ʃ m aː r
аажуухан	aː t͡ʃ ʊː x a n
аалзаар	aː ɮ t͡s aː r
аалзнууд	aː ɮ t͡s n ʊː t
аалзны	aː ɮ t͡s n iː
аами	aː m i
аанай	aː n a j
аандаа	aː n t aː
аар	aː r
аахилж	aː x i ɮ t͡ʃ
ааш	aː ʃ
аашаараа	aː ʃ aː r aː
аашилдаг	aː ʃ i ɮ t a ɡ
аашлавч	aː ʃ ɮ a w t͡ʃʰ
аашлахдаа	aː ʃ ɮ a x t aː
аашлуулан	aː ʃ ɮ ʊː ɮ a n
ааштай	aː ʃ tʰ a j
абдул	a p t ʊ ɮ
аблаци	a p ɮ a t͡sʰ i
ав	a w
аваагүй	a w aː ɡ u j
аваагүйг	a w aː ɡ u j ɡ
аваад	a w aː t
аваач	a w aː t͡ʃʰ
аваачаад	a w aː t͡ʃʰ aː t
аваачиж	a w aː t͡ʃʰ i t͡ʃ
аваачих	a w aː t͡ʃʰ i x
аваачлаа	a w aː t͡ʃʰ ɮ aː
авааччихав	a w aː t͡ʃʰt͡ʃʰ i x a w
авав	a w a w
авагч	a w a ɡ t͡ʃʰ
авагчдын	a w a ɡ t͡ʃʰ t iː n
авай	a w a j
авалт	a w a ɮ tʰ
авалтууд	a w a ɮ tʰ ʊː t
аван	a w a n
авар	a w a r
аварга	a w a r ɡ a
аварсан	a w a r s a n
авах	a w a x
авахаа	a w a x aː
авахаар	a w a x aː r
авахаас	a w a x aː s
авахад	a w a x a t
авахгүй	a w a x ɡ u j
авахгүйгээс	a w a x ɡ u j ɡ ɛː s
авахдаа	a w a x t aː
авахтай	a w a x tʰ a j
авахуулмаар	a w a x ʊː ɮ m aː r
авахы	a w a x iː
авахыг	a w a x iː ɡ
авахын	a w a x iː n
авга	a w ɡ a
авгад	a w ɡ a t
авгай	a w ɡ a j
авгайг	a w ɡ a j ɡ
авгайгаа	a w ɡ a j ɡ aː
авгайн	a w ɡ a j n
авгайтайгаа	a w ɡ a j tʰ a j ɡ aː
авгайчуудаас	a w ɡ a j t͡ʃʰ ʊː t aː s
авгалдай	a w ɡ a ɮ t a j
авгалдайг	a w ɡ a ɮ t a j ɡ
авгын	a w ɡ iː n
авд	a w t
авдаг	a w t a ɡ
авдаггүй	a w t a ɡ ɡ u j
авдагт	a w t a ɡ tʰ
авдар	a w t a r
авдраа	a w t r aː
авдрыг	a w t r iː ɡ
авиа	a w ia
авиануудыг	a w ia n ʊː t iː ɡ
авир	a w i r
авирав	a w i r a w
авиралт	a w i r a ɮ tʰ
авирахыг	a w i r a x iː ɡ
авирмэдийн	a w i r m ɛ t iː n
авирч	a w i r t͡ʃʰ
авирчээ	a w i r t͡ʃʰ ɛː
авлаа	a w ɮ aː
авлига	a w ɮ i ɡ a
авлигагүй	a w ɮ i ɡ a ɡ u j
авлигад	a w ɮ i ɡ a t
авлигыг	a w ɮ i ɡ iː ɡ
авмаар	a w m aː r
авна	a w n a
авраарай	a w r aː r a j
аврагч	a w r a ɡ t͡ʃʰ
авран	a w r a n
аврах	a w r a x
аврахаар	a w r a x aː r
аврорагийн	a w r ɔ r a ɡ iː n
авсаархан	a w s aː r x a n
авсан	a w s a n
авсандаа	a w s a n t aː
авсны	a w s n iː
авсныг	a w s n iː ɡ
австралийн	a w s tʰ r a ɮ iː n
австри	a w s tʰ r i
австрид	a w s tʰ r i t
австрийг	a w s tʰ r iː ɡ
австрийн	a w s tʰ r iː n
автав	a w tʰ a w
автал	a w tʰ a ɮ
автан	a w tʰ a n
автах	a w tʰ a x
авто	a w tʰ ɔ
автобусаар	a w tʰ ɔ p ʊ s aː r
автобусны	a w tʰ ɔ p ʊ s n iː
автобусыг	a w tʰ ɔ p ʊ s iː ɡ
автомат	a w tʰ ɔ m a tʰ
автоматаар	a w tʰ ɔ m a tʰ aː r
автоматчид	a w tʰ ɔ m a tʰ t͡ʃʰ i t
автомашинаас	a w tʰ ɔ m a ʃ i n aː s
автомашинуудыг	a w tʰ ɔ m a ʃ i n ʊː t iː ɡ
автомашинуудын	a w tʰ ɔ m a ʃ i n ʊː t iː n
автомашины	a w tʰ ɔ m a ʃ i n iː
автсан	a w tʰ s a n
авхай	a w x a j
авхуул	a w x ʊː ɮ
авч	a w t͡ʃʰ
авчирдаггүй	a w t͡ʃʰ i r t a ɡ ɡ u j
авчирлаа	a w t͡ʃʰ i r ɮ aː
авчирна	a w t͡ʃʰ i r n a
авчирсан	a w t͡ʃʰ i r s a n
авчирч	a w t͡ʃʰ i r t͡ʃʰ
авчирчээ	a w t͡ʃʰ i r t͡ʃʰ ɛː
авчиръя	a w t͡ʃʰ i rʲ a
авчих	a w t͡ʃʰ i x
авчихвал	a w t͡ʃʰ i x w a ɮ
авчихна	a w t͡ʃʰ i x n a
авчихсан	a w t͡ʃʰ i x s a n
авчраад	a w t͡ʃʰ r aː t
авчрах	a w t͡ʃʰ r a x
авчрахаар	a w t͡ʃʰ r a x aː r
авчрахыг	a w t͡ʃʰ r a x iː ɡ
авчруулжээ	a w t͡ʃʰ r ʊː ɮ t͡ʃ ɛː
авчхаад	a w t͡ʃʰ x aː t
авчхаж	a w t͡ʃʰ x a t͡ʃ
авчээ	a w t͡ʃʰ ɛː
авшиг	a w ʃ i ɡ
авъя	a wʲ a
авъяаслагжүжигчин	a wʲ a a s ɮ a ɡ t͡ʃ u t͡ʃ i ɡ t͡ʃʰ i n
авьяас	a wʲ j a a s
авьяасгүй	a wʲ j a a s ɡ u j
авьяастай	a wʲ j a a s tʰ a j
агаад	a ɡ aː t
агаадаа	a ɡ aː t aː
агаар	a ɡ aː r
агаараар	a ɡ aː r aː r
агаараас	a ɡ aː r aː s
агаарт	a ɡ aː r tʰ
агаарын	a ɡ aː r iː n
агдлан	a ɡ t ɮ a n
агентлаг	a ɡʲ i n tʰ ɮ a ɡ
агентлагууд	a ɡʲ i n tʰ ɮ a ɡ ʊː t
агнавал	a ɡ n a w a ɮ
агнасан	a ɡ n a s a n
агнахаас	a ɡ n a x aː s
агрономич	a ɡ r ɔ n ɔ m i t͡ʃʰ
агссан	a ɡ s s a n
